墓号,组号,方向,长宽深,骨架,姿势,备注
1,1,16°,1.93*0.70_0.20,人1,全躯，仰身直肢,男性成年
2,2,10°,？,狗1，羊1，河狸1,不规整,
3,3,185°,？,人1,砍头，仰身直肢,男性成年
4,4,342°,？,猴1,屈肢,铜铃1
5,5,194°,2.90*2.70_0.90,马6,规整,
6,5,195°,2.90*2.50_0.80,马6,规整,
7,6,193°,3.14*2.60_1.50,马6,不规整,
8,6,193°,3.10*2.20_1.65,马9,不规整,
9,6,196°,3.10*2.35_1.60,马8,不规整,被盗
10,6,195°,3.08*2.44_1.75,马6,不规整,
11,6,196°,3.00*2.25_1.85,马4,不规整,
12,6,190°,3.08*2.50_1.70,马2,规整,
13,7,198°,3.10*2.20_0.55,马6,规整,
14,8,15°,3.00*2.60_1.10,无,,
15,8,18°,2.85*2.30_1.40,无,,
16,8,17°,3.15*2.40_1.57,无,,
17,9,19°,2.92*2.24_1.70,狐,,
18,10,200°,3.09*2.85_1.25,马？,,被盗，不辨个体，统计时暂以一匹计
19,10,198°,3.04*2.40_1.60,牛2,规整,铜铃1，铜铃1
20,10,192°,3.12*2.66_1.55,马1,规整,被盗，马头部有朱砂
22,11,195°,2.80*2.66_1.10,马6 （1匹头向北，5匹头向南）,不规整,马镰4
23,11,195°,3.00*2.50_0.85,马6,规整,马镰12
24,11,198°,3.00*2.40_1.40,马6,不规整,马镰8
25,11,197°,3.09*2.26_1.60,马4,不规整,马镰8
26,11,200°,3.05*2.10_1.60,马4,不规整,马镰8
27,11,190°,3.12*2.84_1.50,马6,规整,马镰4
28,11,198°,3.15*2.90_1.50,马6,不规整,
29,11,191°,3.16*2.56_1.60,马6,规整,
43,12,196°,2.88*2.06_1.35,马2,规整,
31,12,199°,3.00*2.40_1.05,马7,规整,
32,13,191°,2.74*2.30_0.98,马2,规整,
33,13,198°,2.85*2.20_0.95,马2,规整,
34,13,197°,2.90*2.20_0.97,马2,规整,
35,13,18°,2.40*1.68_1.80,象1猪1,规整,铜铃1
44,14,198°,3.23*2.26_1.20,马2,规整,
37,14,200°,3.00*2.34_1.00,马2,规整,
38,14,201°,3.00*1.90_1.10,马2,规整,
39,15,13°,3.26*2.90_1.60,人1马2,人俯身直肢，马姿势规整,男性成年
40,15,16°,2.60*2.80_1.30,人1马2,人俯身直肢，马姿势规整,男性成年
41,15,23°,2.70*2.80_1.90,人1马2,人俯身直肢，马姿势规整,男性成年
